2015-08-28 18:11:48 172.17.100.8 GET /templates/smartsub/redesign/images/hdrBestSellers.gif - 443 - 24.100.55.198 Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 https://www.REDACTED.com/index.php?ccmode=1 200 0 0 15
2015-08-28 18:11:48 172.17.100.8 GET /images/orderpagecvr/CVR-U/usweek/usweek-cvrop-default.jpg - 443 - 24.100.55.198 Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 https://www.REDACTED.com/index.php?ccmode=1 200 0 0 0
2015-08-28 18:11:48 172.17.100.8 GET /templates/smartsub/redesign/images/footerTop.gif - 443 - 24.100.55.198 Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 https://www.REDACTED.com/index.php?ccmode=1 200 0 0 0
2015-08-28 18:11:48 172.17.100.8 GET /templates/smartsub/redesign/images/browseBottom.gif - 443 - 24.100.55.198 Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 https://www.REDACTED.com/index.php?ccmode=1 200 0 0 0
2015-08-28 18:11:48 172.17.100.8 GET /images/orderpagecvr/CVR-D/dwell/dwell-cvrop-default.jpg - 443 - 24.100.55.198 Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 https://www.REDACTED.com/index.php?ccmode=1 200 0 0 0
2015-08-28 18:11:48 172.17.100.8 GET /templates/smartsub/redesign/images/centerBlueTop.gif - 443 - 24.100.55.198 Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 https://www.REDACTED.com/index.php?ccmode=1 200 0 0 0
2015-08-28 18:11:48 172.17.100.8 GET /includes/colorbox/images/loading_background.png - 443 - 24.100.55.198 Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 https://www.REDACTED.com/includes/colorbox/colorbox.css 200 0 0 0
2015-08-28 18:11:48 172.17.100.8 GET /templates/smartsub/redesign/images/footerBtm.gif - 443 - 24.100.55.198 Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 https://www.REDACTED.com/index.php?ccmode=1 200 0 0 0
2015-08-28 18:11:48 172.17.100.8 GET /includes/colorbox/images/overlay.png - 443 - 24.100.55.198 Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 https://www.REDACTED.com/includes/colorbox/colorbox.css 200 0 0 0
2015-08-28 18:11:48 172.17.100.8 GET /includes/colorbox/images/loading.gif - 443 - 24.100.55.198 Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 https://www.REDACTED.com/includes/colorbox/colorbox.css 200 0 0 0
